model,marca,model name,engine,drive,transmission,year,version url,Motor - Combustible,Motor - Cilindrada,Motor - Potencia,Motor - Torque,Motor - Alimentación,Motor - Cilindros,Motor - Válvulas,Motor - Catalítico,Motor - Sistema start / stop,Performance - Aceleración 0-100 km/h,Performance - Rendimiento en ciudad,Performance - Rendimiento en ruta,Performance - Rendimiento mixto,Performance - Velocidad máxima,Transmisión y chasis - Motor - tracción,Transmisión y chasis - Transmisión,Transmisión y chasis - Neumáticos,Transmisión y chasis - Frenos (del. - tras.),Transmisión y chasis - Suspensión delantera,Transmisión y chasis - Suspensión trasera,Medidas y capacidades - Largo,Medidas y capacidades - Ancho sin espejos,Medidas y capacidades - Ancho con espejos,Medidas y capacidades - Alto,Medidas y capacidades - Distancia entre ejes,Medidas y capacidades - Baúl,Medidas y capacidades - Tanque de combustible,Medidas y capacidades - Peso,Medidas y capacidades - Capacidad de carga,Medidas y capacidades - Altura de piso,Medidas y capacidades - Capacidad de vadeo,Medidas y capacidades - Ángulo de ataque,Medidas y capacidades - Ángulo de partida,Medidas y capacidades - Ángulo ventral,Medidas y capacidades - Remolque con frenos,Medidas y capacidades - Remolque sin frenos,Medidas y capacidades - Capacidad de pendiente,Medidas y capacidades - Escalonamiento vertical,Medidas y capacidades - Inclinación lateral,Confort - Aire acondicionado,Confort - Alarma de luces encendidas,Confort - Asientos delanteros,Confort - Asientos traseros,Confort - Tapizados,Confort - Cierre de puertas,Confort - Vidrios (del. - tras.),Confort - Espejos exteriores,Confort - Espejo interior,Confort - Faros delanteros,Confort - Faros antiniebla,Confort - Computadora de a bordo,Confort - Dirección asistida,Confort - Llantas,Confort - Techo solar,Confort - Volante,Confort - Apertura de baúl y tapa de combustible,Confort - Sensores de estacionamiento,Seguridad - ABS,Seguridad - Distribución electrónica de frenado,Seguridad - Airbags,Seguridad - Alarma e inmovilizador de motor,Seguridad - Anclaje para asientos infantiles,Seguridad - Cinturones de seguridad,Seguridad - Tercera luz de stop,Seguridad - Control de tracción,Comunicación y entretenimiento - Equipo de música,Comunicación y entretenimiento - Parlantes,Comunicación y entretenimiento - Conexión auxiliar (iPod y Mp3),Comunicación y entretenimiento - Interfaz bluetooth,Comunicación y entretenimiento - Pantalla,Seguridad - Otros,Seguridad - Autobloqueo de puertas con velocidad,Confort - Control de velocidad crucero,Confort - Encendido del motor,Seguridad - Control de estabilidad,Comunicación y entretenimiento - Apple Carplay / Android Auto,Comunicación y entretenimiento - Conexión USB,Confort - Limpialuneta,Confort - Cámara de visión,Seguridad - Asistencia en frenada de emergencia,Comunicación y entretenimiento - Reproducción de audio vía bluetooth,Comunicación y entretenimiento - Sistema de control por voz para dispositivos,Comunicación y entretenimiento - MirrorLink,Comunicación y entretenimiento - Recarga inalámbrica del celular,Seguridad - Sensor de lluvia,Confort - Limitador de velocidad,Comunicación y entretenimiento - Wi-Fi,Confort - Puertas,Seguridad - Encendido automático de balizas,Seguridad - Luz de freno variable,Confort - Sistema de estacionamiento asistido,Confort - Palanca de cambios,Seguridad - Cabeceras delanteras activas,Comunicación y entretenimiento - Sistema de video,Comunicación y entretenimiento - Sistema de navegación,Transmisión y chasis - Neumáticos delanteros,Transmisión y chasis - Neumáticos traseros,Batería - Cantidad de celdas,Batería - Cantidad de módulos,Batería - Potencia,Batería - Tipo,Batería - Voltaje,Batería - Ubicación,Motor eléctrico - Potencia,Motor eléctrico - Torque,Motor eléctrico - Voltaje,Comunicación y entretenimiento - Preinstalación teléfono,Motor - Potencia total sistema híbrido,Comunicación y entretenimiento - Disco rígido
toyota hilux 2.8l sr cd 4X4,toyota,hilux 2.8l sr cd,,4X4,,,https://www.autocosmos.cl/catalogo/2025/toyota/hilux/28l-sr-cd-4x4/180009,diesel,2775 cc,201/3400 cv/rpm,420/1400-3400 N·m/rpm,inyección directa common rail turbo intercooler,4 en línea,16,sí,no,N/D,"11,1 km/l","15,1 km/l","13,3 km/l",N/D,delantero - integral,manual 6 velocidades,265/65/R17,discos ventilados - tambor,"doble brazo con resortes, amortiguadores y barra estabilizadora","eje rígido, con elásticos longitudinales semiélipticos de acero y amortiguadores hidráulicos telescópicos",5335 mm,1855 mm,N/D,1815 mm,3085 mm,N/A dm3,80 l,N/D,N/D,227 mm,N/D,31°,26°,N/D,2000 kg,750 kg,N/D,N/D,N/D,climatizador bizona,sí,con ajuste manual,no tiene,tela,centralizado con comando a distancia,eléctricos - no tiene,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con apagado automático, con regulación interna",delanteros,sí,hidráulica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción",,,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), de rodilla conductor, laterales delanteros",inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM con lector MP3, con comandos de audio al volante",2,sí,,táctil de 9'',"asistente para arranque en pendientes, control de estabilidad para remolques, sistema de bloqueo electrónico diferencial",sí,sí,,sí,sí,sí,,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toyota hilux 2.8l srv cd aut 4X4,toyota,hilux 2.8l srv cd aut,,4X4,,,https://www.autocosmos.cl/catalogo/2025/toyota/hilux/28l-srv-cd-4x4-aut/180010,diesel,2775 cc,201/3400 cv/rpm,500/1600-2800 N·m/rpm,inyección directa common rail turbo intercooler,4 en línea,16,sí,no,N/D,"10,5 km/l","14,1 km/l","12,5 km/l",N/D,delantero - integral,automática 6 velocidades,265/60/R18,discos ventilados - tambor,"doble brazo con resortes, amortiguadores y barra estabilizadora","eje rígido, con elásticos longitudinales semiélipticos de acero y amortiguadores hidráulicos telescópicos",5335 mm,1855 mm,N/D,1815 mm,3085 mm,N/A dm3,80 l,N/D,N/D,227 mm,N/D,31°,26°,N/D,2000 kg,750 kg,N/D,N/D,N/D,climatizador bizona,sí,"calefaccionables, con ajuste eléctrico",no tiene,cuero,centralizado con comando a distancia,eléctricos - no tiene,"con luz de giro incorporadas, eléctricos",antideslumbrante automático,"con encendido y apagado automático, con luces led, con regulación interna",delanteros,sí,hidráulica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción",,delanteros y traseros,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), de rodilla conductor, laterales delanteros",inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM con lector MP3, con comandos de audio al volante",2,sí,,táctil de 9'',"asistente para arranque en pendientes, control de estabilidad para remolques, sistema de bloqueo electrónico diferencial",sí,sí,con botón,sí,sí,sí,,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toyota hilux dx 2.4 4X2 MT 2024.0,toyota,hilux dx,2.4,4X2,MT,2024.0,https://www.autocosmos.cl/catalogo/2025/toyota/hilux/24l-dx-cd-4x2/180005,diesel,2393 cc,148/3400 cv/rpm,400/1600-2000 N·m/rpm,inyección directa common rail turbo intercooler,4 en línea,16,sí,no,N/D,"11,4 km/l","14,5 km/l","13,2 km/l",N/D,delantero - trasera,manual 6 velocidades,225/70/R17,discos ventilados - tambor,"doble brazo con resortes, amortiguadores y barra estabilizadora","eje rígido, con elásticos longitudinales semiélipticos de acero y amortiguadores hidráulicos telescópicos",5335 mm,1815 mm,N/D,1815 mm,3085 mm,N/A dm3,80 l,N/D,N/D,215 mm,N/D,30°,25°,N/D,2000 kg,750 kg,N/D,N/D,N/D,manual,sí,con ajuste manual,no tiene,tela,centralizado con comando a distancia,eléctricos - no tiene,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con apagado automático, con regulación interna",delanteros,sí,hidráulica,acero,no tiene,"con ajuste en altura y profundidad, multifunción",,,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), de rodilla conductor, laterales delanteros",inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM con lector MP3, con comandos de audio al volante",2,sí,,táctil de 9'',"asistente para arranque en pendientes, control de estabilidad para remolques",sí,sí,,sí,sí,sí,,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toyota hilux dx 2.8 4X4 MT 2024.0,toyota,hilux dx,2.8,4X4,MT,2024.0,https://www.autocosmos.cl/catalogo/2025/toyota/hilux/24l-sr-cd-4x4/180006,diesel,2393 cc,148/3400 cv/rpm,400/1600-2000 N·m/rpm,inyección directa common rail turbo intercooler,4 en línea,16,sí,no,N/D,"11,4 km/l","14,5 km/l","13,2 km/l",N/D,delantero - integral,manual 6 velocidades,265/65/R17,discos ventilados - tambor,"doble brazo con resortes, amortiguadores y barra estabilizadora","eje rígido, con elásticos longitudinales semiélipticos de acero y amortiguadores hidráulicos telescópicos",5335 mm,1855 mm,N/D,1815 mm,3085 mm,N/A dm3,80 l,N/D,N/D,227 mm,N/D,31°,26°,N/D,2000 kg,750 kg,N/D,N/D,N/D,climatizador bizona,sí,con ajuste manual,no tiene,tela,centralizado con comando a distancia,eléctricos - no tiene,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con apagado automático, con regulación interna",delanteros,sí,hidráulica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción",,,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), de rodilla conductor, laterales delanteros",inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM con lector MP3, con comandos de audio al volante",2,sí,,táctil de 9'',"asistente para arranque en pendientes, control de estabilidad para remolques, sistema de bloqueo electrónico diferencial",sí,sí,,sí,sí,sí,,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toyota hilux dx cs 2.8 4X4 MT 2024.0,toyota,hilux dx cs,2.8,4X4,MT,2024.0,https://www.autocosmos.cl/catalogo/2025/toyota/hilux/24l-sr-cd-4x4/180006,diesel,2393 cc,148/3400 cv/rpm,400/1600-2000 N·m/rpm,inyección directa common rail turbo intercooler,4 en línea,16,sí,no,N/D,"11,4 km/l","14,5 km/l","13,2 km/l",N/D,delantero - integral,manual 6 velocidades,265/65/R17,discos ventilados - tambor,"doble brazo con resortes, amortiguadores y barra estabilizadora","eje rígido, con elásticos longitudinales semiélipticos de acero y amortiguadores hidráulicos telescópicos",5335 mm,1855 mm,N/D,1815 mm,3085 mm,N/A dm3,80 l,N/D,N/D,227 mm,N/D,31°,26°,N/D,2000 kg,750 kg,N/D,N/D,N/D,climatizador bizona,sí,con ajuste manual,no tiene,tela,centralizado con comando a distancia,eléctricos - no tiene,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con apagado automático, con regulación interna",delanteros,sí,hidráulica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción",,,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), de rodilla conductor, laterales delanteros",inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM con lector MP3, con comandos de audio al volante",2,sí,,táctil de 9'',"asistente para arranque en pendientes, control de estabilidad para remolques, sistema de bloqueo electrónico diferencial",sí,sí,,sí,sí,sí,,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toyota hilux dx dc 2.4 4X2 MT 2024.0,toyota,hilux dx dc,2.4,4X2,MT,2024.0,https://www.autocosmos.cl/catalogo/2025/toyota/hilux/24l-dx-cd-4x2/180005,diesel,2393 cc,148/3400 cv/rpm,400/1600-2000 N·m/rpm,inyección directa common rail turbo intercooler,4 en línea,16,sí,no,N/D,"11,4 km/l","14,5 km/l","13,2 km/l",N/D,delantero - trasera,manual 6 velocidades,225/70/R17,discos ventilados - tambor,"doble brazo con resortes, amortiguadores y barra estabilizadora","eje rígido, con elásticos longitudinales semiélipticos de acero y amortiguadores hidráulicos telescópicos",5335 mm,1815 mm,N/D,1815 mm,3085 mm,N/A dm3,80 l,N/D,N/D,215 mm,N/D,30°,25°,N/D,2000 kg,750 kg,N/D,N/D,N/D,manual,sí,con ajuste manual,no tiene,tela,centralizado con comando a distancia,eléctricos - no tiene,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con apagado automático, con regulación interna",delanteros,sí,hidráulica,acero,no tiene,"con ajuste en altura y profundidad, multifunción",,,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), de rodilla conductor, laterales delanteros",inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM con lector MP3, con comandos de audio al volante",2,sí,,táctil de 9'',"asistente para arranque en pendientes, control de estabilidad para remolques",sí,sí,,sí,sí,sí,,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toyota hilux dx dc 2.4 4X4 MT 2024.0,toyota,hilux dx dc,2.4,4X4,MT,2024.0,https://www.autocosmos.cl/catalogo/2025/toyota/hilux/24l-sr-cd-4x4/180006,diesel,2393 cc,148/3400 cv/rpm,400/1600-2000 N·m/rpm,inyección directa common rail turbo intercooler,4 en línea,16,sí,no,N/D,"11,4 km/l","14,5 km/l","13,2 km/l",N/D,delantero - integral,manual 6 velocidades,265/65/R17,discos ventilados - tambor,"doble brazo con resortes, amortiguadores y barra estabilizadora","eje rígido, con elásticos longitudinales semiélipticos de acero y amortiguadores hidráulicos telescópicos",5335 mm,1855 mm,N/D,1815 mm,3085 mm,N/A dm3,80 l,N/D,N/D,227 mm,N/D,31°,26°,N/D,2000 kg,750 kg,N/D,N/D,N/D,climatizador bizona,sí,con ajuste manual,no tiene,tela,centralizado con comando a distancia,eléctricos - no tiene,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con apagado automático, con regulación interna",delanteros,sí,hidráulica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción",,,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), de rodilla conductor, laterales delanteros",inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM con lector MP3, con comandos de audio al volante",2,sí,,táctil de 9'',"asistente para arranque en pendientes, control de estabilidad para remolques, sistema de bloqueo electrónico diferencial",sí,sí,,sí,sí,sí,,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toyota hilux sr 2.7 4X2 MT 2024.0,toyota,hilux sr,2.7,4X2,MT,2024.0,https://www.autocosmos.cl/catalogo/2025/toyota/hilux/24l-sr-cd-4x2/180007,diesel,2393 cc,148/3400 cv/rpm,400/1600-2000 N·m/rpm,inyección directa common rail turbo intercooler,4 en línea,16,sí,no,N/D,"11,4 km/l","14,5 km/l","13,2 km/l",N/D,delantero - trasera,manual 6 velocidades,265/65/R17,discos ventilados - tambor,"doble brazo con resortes, amortiguadores y barra estabilizadora","eje rígido, con elásticos longitudinales semiélipticos de acero y amortiguadores hidráulicos telescópicos",5335 mm,1855 mm,N/D,1815 mm,3085 mm,N/A dm3,80 l,N/D,N/D,227 mm,N/D,31°,26°,N/D,2000 kg,750 kg,N/D,N/D,N/D,climatizador bizona,sí,con ajuste manual,no tiene,tela,centralizado con comando a distancia,eléctricos - no tiene,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con apagado automático, con regulación interna",delanteros,sí,hidráulica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción",,,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), de rodilla conductor, laterales delanteros",inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM con lector MP3, con comandos de audio al volante",2,sí,,táctil de 9'',"asistente para arranque en pendientes, control de estabilidad para remolques, sistema de bloqueo electrónico diferencial",sí,sí,,sí,sí,sí,,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toyota hilux sr dc 2.4 4X2 MT 2024.0,toyota,hilux sr dc,2.4,4X2,MT,2024.0,https://www.autocosmos.cl/catalogo/2025/toyota/hilux/24l-sr-cd-4x2/180007,diesel,2393 cc,148/3400 cv/rpm,400/1600-2000 N·m/rpm,inyección directa common rail turbo intercooler,4 en línea,16,sí,no,N/D,"11,4 km/l","14,5 km/l","13,2 km/l",N/D,delantero - trasera,manual 6 velocidades,265/65/R17,discos ventilados - tambor,"doble brazo con resortes, amortiguadores y barra estabilizadora","eje rígido, con elásticos longitudinales semiélipticos de acero y amortiguadores hidráulicos telescópicos",5335 mm,1855 mm,N/D,1815 mm,3085 mm,N/A dm3,80 l,N/D,N/D,227 mm,N/D,31°,26°,N/D,2000 kg,750 kg,N/D,N/D,N/D,climatizador bizona,sí,con ajuste manual,no tiene,tela,centralizado con comando a distancia,eléctricos - no tiene,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con apagado automático, con regulación interna",delanteros,sí,hidráulica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción",,,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), de rodilla conductor, laterales delanteros",inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM con lector MP3, con comandos de audio al volante",2,sí,,táctil de 9'',"asistente para arranque en pendientes, control de estabilidad para remolques, sistema de bloqueo electrónico diferencial",sí,sí,,sí,sí,sí,,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toyota hilux sr dc 2.4 4X4 MT 2024.0,toyota,hilux sr dc,2.4,4X4,MT,2024.0,https://www.autocosmos.cl/catalogo/2025/toyota/hilux/24l-sr-cd-4x4/180006,diesel,2393 cc,148/3400 cv/rpm,400/1600-2000 N·m/rpm,inyección directa common rail turbo intercooler,4 en línea,16,sí,no,N/D,"11,4 km/l","14,5 km/l","13,2 km/l",N/D,delantero - integral,manual 6 velocidades,265/65/R17,discos ventilados - tambor,"doble brazo con resortes, amortiguadores y barra estabilizadora","eje rígido, con elásticos longitudinales semiélipticos de acero y amortiguadores hidráulicos telescópicos",5335 mm,1855 mm,N/D,1815 mm,3085 mm,N/A dm3,80 l,N/D,N/D,227 mm,N/D,31°,26°,N/D,2000 kg,750 kg,N/D,N/D,N/D,climatizador bizona,sí,con ajuste manual,no tiene,tela,centralizado con comando a distancia,eléctricos - no tiene,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con apagado automático, con regulación interna",delanteros,sí,hidráulica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción",,,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), de rodilla conductor, laterales delanteros",inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM con lector MP3, con comandos de audio al volante",2,sí,,táctil de 9'',"asistente para arranque en pendientes, control de estabilidad para remolques, sistema de bloqueo electrónico diferencial",sí,sí,,sí,sí,sí,,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toyota tundra sr5 4X4,toyota,tundra sr5,,4X4,,,https://www.autocosmos.cl/catalogo/2025/toyota/fortuner/28l-sr5-tdi-4x4/180018,diesel,2755 cc,201 cv/rpm,500 N·m/rpm,inyección directa turbo intercooler,4 en línea,16,sí,no,N/D,N/D,N/D,N/D,N/D,delantero - integral,manual 6 velocidades,265/65/R17,discos ventilados - discos sólidos,independiente de doble horquilla con barra estabilizadora,barra estabilizadora,4795 mm,1855 mm,N/D,1835 mm,2745 mm,N/D,80 l,N/D,N/D,227 mm,N/D,"29,0°","25,0°",N/D,2000 kg,750 kg,N/D,N/D,N/D,manual,sí,"con ajuste en altura solo conductor, con ajuste manual",2da. fila abatibles 60/40 y 3ra. fila 50/50,tela,centralizado con comando a distancia,eléctricos - eléctricos,eléctricos,antideslumbrante manual,"con apagado automático, con luces led",no tiene,sí,hidráulica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción",,delanteros y traseros,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), de rodilla conductor, laterales delanteros",inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM con lector MP3, con comandos de audio al volante",6,sí,sí,táctil de 9'',"asistente para arranque en pendientes, sistema de bloqueo electrónico diferencial",sí,sí,,sí,sí,sí,sí,trasera,sí,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volkswagen amarok 2.0l comfortline 4motion,volkswagen,amarok 2.0l comfortline 4motion,,,,,https://www.autocosmos.cl/catalogo/2025/volkswagen/saveiro-cross/16l/180072,bencina,1598 cc,110/5750 cv/rpm,155/4000 N·m/rpm,inyección directa,4 en línea,16,sí,no,N/D,"10,9 km/l","17,2 km/l","14,2 km/l",N/D,delantero - delantera,manual 5 velocidades,205/60/R15,discos ventilados - discos sólidos,independiente tipo McPherson con barra estabilizadora,eje de torsión,4497 mm,1428 mm,N/D,1553 mm,2753 mm,N/D,55 l,N/D,610 kg,N/D,,,,,,,,,,manual,sí,"con ajuste en altura solo conductor, con ajuste manual",no abatibles,cuero,centralizado con comando a distancia,eléctricos - fijos,"con luz de giro incorporadas, manuales",antideslumbrante manual,"con luces led, fijos",delanteros,sí,hidráulica,aleación,no tiene,multifunción revestido en cuero,,delanteros y traseros,sí,,conductor y acompañante,alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM, con lector de Mp3 y WMA, con comandos de audio al volante",6,sí,sí,"táctil de 6,5''","asistente para arranque en pendientes, control de descenso en pendientes, sistema de bloqueo electrónico diferencial",,sí,,,,sí,,trasera,,sí,,sí,,sí,,,,,,,,,,,,,,,,,,,,,,,,
volkswagen amarok 2.0l comfortline 4motion aut,volkswagen,amarok 2.0l comfortline 4motion aut,,,,,https://www.autocosmos.cl/catalogo/2025/volkswagen/jetta-gli/20l-tsi/180083,bencina,1998 cc,230/4700-6200 cv/rpm,350/1500-4000 N·m/rpm,inyección directa turbo,4 en línea,16,sí,sí,"6,8 s","10,9 km/l","17,5 km/l","14,3 km/l",245 km/h,delantero - delantera,DSG 7 velocidades,225/45/R18,discos ventilados - discos sólidos,independiente tipo McPherson,barra de torsión,4738 mm,1799 mm,N/D,1476 mm,2688 mm,510 dm3,50 l,N/D,N/D,N/D,,,,,,,,,,climatizador bizona,sí,"calefaccionables y ventilados, con ajuste eléctrico solo conductor, con ajuste en altura y lumbar solo conductor, con memorias solo conductor",abatibles 60/40,cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con función de plegado eléctrico, con luz de giro incorporadas, eléctricos, térmicos y memoria",antideslumbrante automático,"con encendido automático, con luces led, con regulación interna",delanteros y traseros,sí,eléctrica,aleación,eléctrico panorámico,"con ajuste en altura y profundidad, multifunción revestido en símil cuero",,delanteros y traseros,sí,sí,"conductor y acompañante, de cabeza delanteros y traseros (cortina), laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM con lector MP3, con comandos de audio al volante",6,sí,sí,"táctil de 10""","asistente de luz alta en carretera, asistente para arranque en pendientes, indicador de presión de neumáticos, sistema de alerta por cansancio, sistema de bloqueo electrónico diferencial, sistema de regulación del torque (MSR)",sí,sí,con botón,sí,sí,sí,,trasera,sí,,,,sí,sí,,,,,,,"levas de cambios al volante - paddle shifters, revestida en cuero",,,,,,,,,,,,,,,,,
volkswagen amarok 2.0l comfortline 4X2,volkswagen,amarok 2.0l comfortline,,4X2,,,https://www.autocosmos.cl/catalogo/2025/volkswagen/saveiro-cross/16l/180072,bencina,1598 cc,110/5750 cv/rpm,155/4000 N·m/rpm,inyección directa,4 en línea,16,sí,no,N/D,"10,9 km/l","17,2 km/l","14,2 km/l",N/D,delantero - delantera,manual 5 velocidades,205/60/R15,discos ventilados - discos sólidos,independiente tipo McPherson con barra estabilizadora,eje de torsión,4497 mm,1428 mm,N/D,1553 mm,2753 mm,N/D,55 l,N/D,610 kg,N/D,,,,,,,,,,manual,sí,"con ajuste en altura solo conductor, con ajuste manual",no abatibles,cuero,centralizado con comando a distancia,eléctricos - fijos,"con luz de giro incorporadas, manuales",antideslumbrante manual,"con luces led, fijos",delanteros,sí,hidráulica,aleación,no tiene,multifunción revestido en cuero,,delanteros y traseros,sí,,conductor y acompañante,alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM, con lector de Mp3 y WMA, con comandos de audio al volante",6,sí,sí,"táctil de 6,5''","asistente para arranque en pendientes, control de descenso en pendientes, sistema de bloqueo electrónico diferencial",,sí,,,,sí,,trasera,,sí,,sí,,sí,,,,,,,,,,,,,,,,,,,,,,,,
volkswagen amarok 2.0l highline 4motion aut,volkswagen,amarok 2.0l highline 4motion aut,,,,,https://www.autocosmos.cl/catalogo/2025/volkswagen/saveiro-cross/16l/180072,bencina,1598 cc,110/5750 cv/rpm,155/4000 N·m/rpm,inyección directa,4 en línea,16,sí,no,N/D,"10,9 km/l","17,2 km/l","14,2 km/l",N/D,delantero - delantera,manual 5 velocidades,205/60/R15,discos ventilados - discos sólidos,independiente tipo McPherson con barra estabilizadora,eje de torsión,4497 mm,1428 mm,N/D,1553 mm,2753 mm,N/D,55 l,N/D,610 kg,N/D,,,,,,,,,,manual,sí,"con ajuste en altura solo conductor, con ajuste manual",no abatibles,cuero,centralizado con comando a distancia,eléctricos - fijos,"con luz de giro incorporadas, manuales",antideslumbrante manual,"con luces led, fijos",delanteros,sí,hidráulica,aleación,no tiene,multifunción revestido en cuero,,delanteros y traseros,sí,,conductor y acompañante,alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM, con lector de Mp3 y WMA, con comandos de audio al volante",6,sí,sí,"táctil de 6,5''","asistente para arranque en pendientes, control de descenso en pendientes, sistema de bloqueo electrónico diferencial",,sí,,,,sí,,trasera,,sí,,sí,,sí,,,,,,,,,,,,,,,,,,,,,,,,
volkswagen amarok 2.0l trendline 4motion,volkswagen,amarok 2.0l trendline 4motion,,,,,https://www.autocosmos.cl/catalogo/2025/volkswagen/saveiro-cross/16l/180072,bencina,1598 cc,110/5750 cv/rpm,155/4000 N·m/rpm,inyección directa,4 en línea,16,sí,no,N/D,"10,9 km/l","17,2 km/l","14,2 km/l",N/D,delantero - delantera,manual 5 velocidades,205/60/R15,discos ventilados - discos sólidos,independiente tipo McPherson con barra estabilizadora,eje de torsión,4497 mm,1428 mm,N/D,1553 mm,2753 mm,N/D,55 l,N/D,610 kg,N/D,,,,,,,,,,manual,sí,"con ajuste en altura solo conductor, con ajuste manual",no abatibles,cuero,centralizado con comando a distancia,eléctricos - fijos,"con luz de giro incorporadas, manuales",antideslumbrante manual,"con luces led, fijos",delanteros,sí,hidráulica,aleación,no tiene,multifunción revestido en cuero,,delanteros y traseros,sí,,conductor y acompañante,alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM, con lector de Mp3 y WMA, con comandos de audio al volante",6,sí,sí,"táctil de 6,5''","asistente para arranque en pendientes, control de descenso en pendientes, sistema de bloqueo electrónico diferencial",,sí,,,,sí,,trasera,,sí,,sí,,sí,,,,,,,,,,,,,,,,,,,,,,,,
