MODEL,MARCA,Model Name,Engine,Drive,Transmission,Year,Version URL,Motor - Combustible,Motor - Cilindrada,Motor - Potencia,Motor - Torque,Motor - Alimentación,Motor - Cilindros,Motor - Válvulas,Motor - Catalítico,Motor - Sistema start / stop,Performance - Aceleración 0-100 km/h,Performance - Rendimiento en ciudad,Performance - Rendimiento en ruta,Performance - Rendimiento mixto,Performance - Velocidad máxima,Transmisión y chasis - Motor - tracción,Transmisión y chasis - Transmisión,Transmisión y chasis - Neumáticos,Transmisión y chasis - Frenos (del. - tras.),Transmisión y chasis - Suspensión delantera,Transmisión y chasis - Suspensión trasera,Medidas y capacidades - Largo,Medidas y capacidades - Ancho sin espejos,Medidas y capacidades - Ancho con espejos,Medidas y capacidades - Alto,Medidas y capacidades - Distancia entre ejes,Medidas y capacidades - Baúl,Medidas y capacidades - Tanque de combustible,Medidas y capacidades - Peso,Medidas y capacidades - Capacidad de carga,Medidas y capacidades - Altura de piso,Medidas y capacidades - Capacidad de vadeo,Medidas y capacidades - Ángulo de ataque,Medidas y capacidades - Ángulo de partida,Medidas y capacidades - Ángulo ventral,Medidas y capacidades - Remolque con frenos,Medidas y capacidades - Remolque sin frenos,Medidas y capacidades - Capacidad de pendiente,Medidas y capacidades - Escalonamiento vertical,Medidas y capacidades - Inclinación lateral,Confort - Aire acondicionado,Confort - Alarma de luces encendidas,Confort - Asientos delanteros,Confort - Asientos traseros,Confort - Tapizados,Confort - Cierre de puertas,Confort - Vidrios (del. - tras.),Confort - Espejos exteriores,Confort - Espejo interior,Confort - Faros delanteros,Confort - Faros antiniebla,Confort - Computadora de a bordo,Confort - Dirección asistida,Confort - Llantas,Confort - Techo solar,Confort - Volante,Confort - Apertura de baúl y tapa de combustible,Confort - Sensores de estacionamiento,Seguridad - ABS,Seguridad - Distribución electrónica de frenado,Seguridad - Airbags,Seguridad - Alarma e inmovilizador de motor,Seguridad - Anclaje para asientos infantiles,Seguridad - Cinturones de seguridad,Seguridad - Tercera luz de stop,Comunicación y entretenimiento - Equipo de música,Comunicación y entretenimiento - Parlantes,Comunicación y entretenimiento - Conexión auxiliar (iPod y Mp3),Comunicación y entretenimiento - Interfaz bluetooth,Comunicación y entretenimiento - Pantalla,Seguridad - Otros,Seguridad - Autobloqueo de puertas con velocidad,Seguridad - Control de estabilidad,Seguridad - Control de tracción,Confort - Control de velocidad crucero,Confort - Encendido del motor,Comunicación y entretenimiento - Apple Carplay / Android Auto,Confort - Cámara de visión,Seguridad - Asistencia en frenada de emergencia,Seguridad - Sensor de lluvia,Comunicación y entretenimiento - Conexión USB,Comunicación y entretenimiento - Reproducción de audio vía bluetooth,Comunicación y entretenimiento - Sistema de navegación,Comunicación y entretenimiento - Wi-Fi,Comunicación y entretenimiento - MirrorLink,Comunicación y entretenimiento - Recarga inalámbrica del celular,Confort - Limitador de velocidad,Confort - Limpialuneta,Comunicación y entretenimiento - Sistema de control por voz para dispositivos,Seguridad - Encendido automático de balizas,Seguridad - Luz de freno variable,Confort - Sistema de estacionamiento asistido,Batería - Cantidad de celdas,Batería - Cantidad de módulos,Batería - Potencia,Batería - Tipo,Batería - Voltaje,Batería - Ubicación,Motor eléctrico - Potencia,Motor eléctrico - Torque,Motor eléctrico - Voltaje,Confort - Palanca de cambios,Transmisión y chasis - Neumáticos delanteros,Transmisión y chasis - Neumáticos traseros,Motor - Potencia total sistema híbrido,Seguridad - Cabeceras delanteras activas,Comunicación y entretenimiento - Preinstalación teléfono,Comunicación y entretenimiento - Disco rígido,Confort - Puertas
TOYOTA HILUX SR 2.7 4X2 MT 2024,TOYOTA,HILUX SR,2.7,4X2,MT,2024,https://www.autocosmos.cl/catalogo/2024/toyota/hilux/24l-sr-cd-4x2/178148,diesel,2393 cc,148/3400 cv/rpm,400/1600-2000 N·m/rpm,inyección directa common rail turbo intercooler,4 en línea,16,sí,no,N/D,"11,4 km/l","14,5 km/l","13,2 km/l",N/D,delantero - trasera,manual 6 velocidades,265/65/R17,discos ventilados - tambor,"doble brazo con resortes, amortiguadores y barra estabilizadora","eje rígido, con elásticos longitudinales semiélipticos de acero y amortiguadores hidráulicos telescópicos",5335 mm,1855 mm,N/D,1815 mm,3085 mm,N/A dm3,80 l,N/D,N/D,227 mm,N/D,31°,26°,N/D,2000 kg,750 kg,N/D,N/D,N/D,climatizador bizona,sí,con ajuste manual,no tiene,tela,centralizado con comando a distancia,eléctricos - no tiene,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con apagado automático, con regulación interna",delanteros,sí,hidráulica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción",,,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), de rodilla conductor, laterales delanteros",inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM con lector MP3, con comandos de audio al volante",2,sí,,táctil de 9'',"asistente para arranque en pendientes, control de estabilidad para remolques, sistema de bloqueo electrónico diferencial",sí,sí,sí,sí,,sí,,sí,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOYOTA HILUX SR 2.8 4X4 MT 2024,TOYOTA,HILUX SR,2.8,4X4,MT,2024,https://www.autocosmos.cl/catalogo/2024/toyota/hilux/24l-sr-cd-4x4/178147,diesel,2393 cc,148/3400 cv/rpm,400/1600-2000 N·m/rpm,inyección directa common rail turbo intercooler,4 en línea,16,sí,no,N/D,"11,4 km/l","14,5 km/l","13,2 km/l",N/D,delantero - integral,manual 6 velocidades,265/65/R17,discos ventilados - tambor,"doble brazo con resortes, amortiguadores y barra estabilizadora","eje rígido, con elásticos longitudinales semiélipticos de acero y amortiguadores hidráulicos telescópicos",5335 mm,1855 mm,N/D,1815 mm,3085 mm,N/A dm3,80 l,N/D,N/D,227 mm,N/D,31°,26°,N/D,2000 kg,750 kg,N/D,N/D,N/D,climatizador bizona,sí,con ajuste manual,no tiene,tela,centralizado con comando a distancia,eléctricos - no tiene,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con apagado automático, con regulación interna",delanteros,sí,hidráulica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción",,,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), de rodilla conductor, laterales delanteros",inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM con lector MP3, con comandos de audio al volante",2,sí,,táctil de 9'',"asistente para arranque en pendientes, control de estabilidad para remolques, sistema de bloqueo electrónico diferencial",sí,sí,sí,sí,,sí,,sí,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOYOTA HILUX SR DC 2.4 4X2 MT 2024,TOYOTA,HILUX SR DC,2.4,4X2,MT,2024,https://www.autocosmos.cl/catalogo/2024/toyota/hilux/24l-sr-cd-4x2/178148,diesel,2393 cc,148/3400 cv/rpm,400/1600-2000 N·m/rpm,inyección directa common rail turbo intercooler,4 en línea,16,sí,no,N/D,"11,4 km/l","14,5 km/l","13,2 km/l",N/D,delantero - trasera,manual 6 velocidades,265/65/R17,discos ventilados - tambor,"doble brazo con resortes, amortiguadores y barra estabilizadora","eje rígido, con elásticos longitudinales semiélipticos de acero y amortiguadores hidráulicos telescópicos",5335 mm,1855 mm,N/D,1815 mm,3085 mm,N/A dm3,80 l,N/D,N/D,227 mm,N/D,31°,26°,N/D,2000 kg,750 kg,N/D,N/D,N/D,climatizador bizona,sí,con ajuste manual,no tiene,tela,centralizado con comando a distancia,eléctricos - no tiene,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con apagado automático, con regulación interna",delanteros,sí,hidráulica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción",,,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), de rodilla conductor, laterales delanteros",inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM con lector MP3, con comandos de audio al volante",2,sí,,táctil de 9'',"asistente para arranque en pendientes, control de estabilidad para remolques, sistema de bloqueo electrónico diferencial",sí,sí,sí,sí,,sí,,sí,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOYOTA HILUX SR DC 2.4 4X4 MT 2024,TOYOTA,HILUX SR DC,2.4,4X4,MT,2024,https://www.autocosmos.cl/catalogo/2024/toyota/hilux/24l-sr-cd-4x4/178147,diesel,2393 cc,148/3400 cv/rpm,400/1600-2000 N·m/rpm,inyección directa common rail turbo intercooler,4 en línea,16,sí,no,N/D,"11,4 km/l","14,5 km/l","13,2 km/l",N/D,delantero - integral,manual 6 velocidades,265/65/R17,discos ventilados - tambor,"doble brazo con resortes, amortiguadores y barra estabilizadora","eje rígido, con elásticos longitudinales semiélipticos de acero y amortiguadores hidráulicos telescópicos",5335 mm,1855 mm,N/D,1815 mm,3085 mm,N/A dm3,80 l,N/D,N/D,227 mm,N/D,31°,26°,N/D,2000 kg,750 kg,N/D,N/D,N/D,climatizador bizona,sí,con ajuste manual,no tiene,tela,centralizado con comando a distancia,eléctricos - no tiene,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con apagado automático, con regulación interna",delanteros,sí,hidráulica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción",,,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), de rodilla conductor, laterales delanteros",inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM con lector MP3, con comandos de audio al volante",2,sí,,táctil de 9'',"asistente para arranque en pendientes, control de estabilidad para remolques, sistema de bloqueo electrónico diferencial",sí,sí,sí,sí,,sí,,sí,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOYOTA HILUX SRV 2.8 4X4 AT 2024,TOYOTA,HILUX SRV,2.8,4X4,AT,2024,https://www.autocosmos.cl/catalogo/2024/toyota/hilux/24l-sr-cd-4x4/178147,diesel,2393 cc,148/3400 cv/rpm,400/1600-2000 N·m/rpm,inyección directa common rail turbo intercooler,4 en línea,16,sí,no,N/D,"11,4 km/l","14,5 km/l","13,2 km/l",N/D,delantero - integral,manual 6 velocidades,265/65/R17,discos ventilados - tambor,"doble brazo con resortes, amortiguadores y barra estabilizadora","eje rígido, con elásticos longitudinales semiélipticos de acero y amortiguadores hidráulicos telescópicos",5335 mm,1855 mm,N/D,1815 mm,3085 mm,N/A dm3,80 l,N/D,N/D,227 mm,N/D,31°,26°,N/D,2000 kg,750 kg,N/D,N/D,N/D,climatizador bizona,sí,con ajuste manual,no tiene,tela,centralizado con comando a distancia,eléctricos - no tiene,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con apagado automático, con regulación interna",delanteros,sí,hidráulica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción",,,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), de rodilla conductor, laterales delanteros",inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM con lector MP3, con comandos de audio al volante",2,sí,,táctil de 9'',"asistente para arranque en pendientes, control de estabilidad para remolques, sistema de bloqueo electrónico diferencial",sí,sí,sí,sí,,sí,,sí,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BYD HAN EV 2024,BYD,HAN EV,,,,2024,https://www.autocosmos.cl/catalogo/2024/byd/han-ev/gs/176941,,,,,,,,,sí,"3,9 s",,,,N/D,delantero - integral,automática,245/45/R19,discos ventilados - discos ventilados,McPherson,Multi-link,4980 mm,1940 mm,N/D,1495 mm,2920 mm,410 dm3,,2660 kg,N/D,125 mm,,,,,,,,,,climatizador bizona,sí,"con ajuste eléctrico, con ajuste en altura y lumbar, con memorias solo conductor",abatibles 60/40,cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos",antideslumbrante automático,"con encendido y apagado automático, con luces led",traseros,sí,eléctrica,aleación,eléctrico panorámico,"con ajuste en altura y profundidad, multifunción revestido en cuero",,delanteros y traseros,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), de rodilla conductor, laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM con lector MP3, con comandos de audio al volante",12,,sí,"táctil de 12,3""","advertencia de colisión con autofrenado, asistente para arranque en pendientes, asistente para cambio de carril, control de descenso en pendientes, indicador de presión de neumáticos, sistema de advertencia de salida de carril, sistema de alerta del punto ciego",sí,sí,sí,adaptativa,"con botón, con tarjeta",sí,periférica (360°),sí,sí,sí,sí,satelital (GPS),sí,,sí,sí,,sí,,,,N/D,N/D,N/D,Fosfato de Hierro y Litio,N/D,N/D,509 cv/rpm,700 N·m/rpm,N/D,,,,,,,,
BYD QIN PLUS DM 2024,BYD,QIN PLUS DM,,,,2024,https://www.autocosmos.cl/catalogo/2024/byd/qin/plus-dm-i/176944,,,,,,,,,sí,N/D,,,,N/D,delantero - integral,automática,215/55/R17,discos ventilados - discos sólidos,McPherson,barra de torsión,4765 mm,1837 mm,N/D,1495 mm,2718 mm,450 dm3,,1875 kg,N/D,125 mm,,,,,,,,,,climatizador bizona,sí,"con ajuste eléctrico, con ajuste en altura","abatibles 60/40, con calefacción y ventilador",símil cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos",antideslumbrante automático,"con encendido automático, con luces led",traseros,sí,eléctrica,aleación,eléctrico,"con ajuste en altura y profundidad, multifunción revestido en cuero",,delanteros y traseros,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM, con comandos de audio al volante",6,,sí,"táctil de 10,1""","asistente para arranque en pendientes, indicador de presión de neumáticos",sí,sí,sí,sí,"con botón, con tarjeta",sí,trasera,sí,,sí,sí,satelital (GPS),,,,sí,,sí,,,,N/D,N/D,115 cv,LFP - Blade,N/D,central,N/D,N/D,N/D,,,,,,,,
BYD SEAL EV 2024,BYD,SEAL EV,,,,2024,https://www.autocosmos.cl/catalogo/2024/byd/seal/gs/176943,,,,,,,,,sí,N/D,,,,N/D,delantero - integral,automática,235/45/R19,discos ventilados - discos sólidos,McPherson,Multi-link,4800 mm,1875 mm,N/D,1460 mm,2920 mm,400 dm3,,2185 kg,410 kg,120 mm,,,,,,,,,,climatizador bizona,sí,"con ajuste eléctrico, con ajuste en altura y lumbar, con memorias solo conductor",abatibles 60/40,cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos",antideslumbrante automático,"con encendido y apagado automático, con luces led",traseros,sí,eléctrica,aleación,eléctrico panorámico,"con ajuste en altura y profundidad, multifunción revestido en cuero",,delanteros y traseros,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM, con comandos de audio al volante",12,,sí,"táctil de 10,25""","advertencia de colisión con autofrenado, asistente para arranque en pendientes, asistente para cambio de carril, control de descenso en pendientes, indicador de presión de neumáticos, sistema de advertencia de salida de carril",sí,sí,sí,adaptativa,"con botón, con tarjeta",sí,periférica (360°),sí,sí,sí,sí,satelital (GPS),,,,sí,,sí,,,,N/D,N/D,115 cv,LFP - Blade,N/D,central,N/D,N/D,N/D,,,,,,,,
CHANGAN ALSVIN COMFORT 2024,CHANGAN,ALSVIN COMFORT,,,,2024,https://www.autocosmos.cl/catalogo/2024/changan/alsvin/comfort/176945,bencina,1400 cc,93 cv/rpm,135 N·m/rpm,inyección electrónica multipunto,4 en línea,16,sí,no,N/D,"12,2 km/l","20,0 km/l","16,2 km/l",N/D,delantero - delantera,manual 5 velocidades,175/65/R14,discos ventilados - tambor,independiente tipo McPherson,barra de torsión,4390 mm,N/D,1725 mm,1490 mm,2535 mm,430 dm3,52 l,1080 kg,N/D,N/D,,,,,,,,,,manual,sí,con ajuste manual,abatibles 60/40,tela,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con encendido automático, con regulación interna",traseros,,eléctrica,aleación,no tiene,"con ajuste en altura, multifunción",interna solo tapa de combustible,,sí,sí,conductor y acompañante,alarma e inmovilizador de motor,sí,"delanteros 3 puntas, traseros inerciales",sí,"AM - FM, con lector de Mp3 y WMA, con comandos de audio al volante",2,sí,sí,"táctil de 10""",,sí,,,,,sí,trasera,,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHANGAN ALSVIN ELITE AT 2024,CHANGAN,ALSVIN ELITE,,,AT,2024,https://www.autocosmos.cl/catalogo/2024/changan/alsvin/elite-aut/176947,bencina,1500 cc,95 cv/rpm,137 N·m/rpm,inyección electrónica multipunto,4 en línea,16,sí,sí,N/D,"10,7 km/l","18,6 km/l","14,6 km/l",N/D,delantero - delantera,automática 5 velocidades,185/55/R15,discos ventilados - tambor,independiente tipo McPherson,barra de torsión,4390 mm,N/D,1725 mm,1490 mm,2535 mm,430 dm3,52 l,1115 kg,N/D,N/D,,,,,,,,,,manual,sí,con ajuste manual,abatibles 60/40,símil cuero y tela,centralizado con comando a distancia,eléctricos - eléctricos,"automáticos y térmicos, con luz de giro incorporadas",antideslumbrante manual,"con encendido automático, con regulación interna",traseros,sí,eléctrica,aleación,eléctrico,"con ajuste en altura, multifunción",interna solo tapa de combustible,traseros,sí,sí,conductor y acompañante,alarma e inmovilizador de motor,sí,"delanteros 3 puntas, traseros inerciales",sí,"AM - FM, con lector de Mp3 y WMA, con comandos de audio al volante",4,sí,sí,"táctil de 10""","asistente para arranque en pendientes, indicador de presión de neumáticos",sí,sí,sí,sí,,sí,trasera,,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHANGAN ALSVIN LUXURY 2024,CHANGAN,ALSVIN LUXURY,,,,2024,https://www.autocosmos.cl/catalogo/2024/changan/alsvin/luxury/176946,bencina,1400 cc,93 cv/rpm,135 N·m/rpm,inyección electrónica multipunto,4 en línea,16,sí,no,N/D,"12,2 km/l","20,0 km/l","16,2 km/l",N/D,delantero - delantera,manual 5 velocidades,185/55/R15,discos ventilados - tambor,independiente tipo McPherson,barra de torsión,4390 mm,N/D,1725 mm,1490 mm,2535 mm,430 dm3,52 l,1080 kg,N/D,N/D,,,,,,,,,,manual,sí,con ajuste manual,abatibles 60/40,símil cuero y tela,centralizado con comando a distancia,eléctricos - eléctricos,"automáticos y térmicos, con luz de giro incorporadas",antideslumbrante manual,"con encendido automático, con regulación interna",traseros,sí,eléctrica,aleación,no tiene,"con ajuste en altura, multifunción",interna solo tapa de combustible,traseros,sí,sí,conductor y acompañante,alarma e inmovilizador de motor,sí,"delanteros 3 puntas, traseros inerciales",sí,"AM - FM, con lector de Mp3 y WMA, con comandos de audio al volante",4,sí,sí,"táctil de 10""",asistente para arranque en pendientes,sí,sí,sí,,,sí,trasera,,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEVROLET ONIX LT R 1.0 2024,CHEVROLET,ONIX LT R,1.0,,,2024,https://www.autocosmos.cl/catalogo/2024/chevrolet/onix/10t-ltz-r/178433,bencina,1000 cc,116/5500 cv/rpm,160/2000 N·m/rpm,inyección directa turbo,3 en línea,12,sí,no,N/D,"11,6 km/l","20,5 km/l","16,0 km/l",N/D,delantero - delantera,manual 5 velocidades,R15,discos ventilados - discos sólidos,independiente tipo McPherson,barra de torsión y barra estabilizadora,4163 mm,N/D,1730 mm,1473 mm,2551 mm,303/469 dm3,44 l,1063 kg,375 kg,N/D,,,,,,,,,,manual,sí,con ajuste manual,abatibles 60/40,tela,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con luces led, con regulación interna",,sí,eléctrica,aleación,no tiene,multifunción,,traseros,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM con lector MP3, con comandos de audio al volante",6,sí,,"táctil de 8""",asistente para arranque en pendientes,,sí,sí,,,,trasera,sí,,sí,,satelital (GPS),,,,sí,,,,,,,,,,,,,,,,,,,,,,
CHEVROLET ONIX LTZ P2 1.0 2024,CHEVROLET,ONIX LTZ P2,1.0,,,2024,https://www.autocosmos.cl/catalogo/2024/chevrolet/onix/10t-ltz-r/178433,bencina,1000 cc,116/5500 cv/rpm,160/2000 N·m/rpm,inyección directa turbo,3 en línea,12,sí,no,N/D,"11,6 km/l","20,5 km/l","16,0 km/l",N/D,delantero - delantera,manual 5 velocidades,R15,discos ventilados - discos sólidos,independiente tipo McPherson,barra de torsión y barra estabilizadora,4163 mm,N/D,1730 mm,1473 mm,2551 mm,303/469 dm3,44 l,1063 kg,375 kg,N/D,,,,,,,,,,manual,sí,con ajuste manual,abatibles 60/40,tela,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con luces led, con regulación interna",,sí,eléctrica,aleación,no tiene,multifunción,,traseros,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM con lector MP3, con comandos de audio al volante",6,sí,,"táctil de 8""",asistente para arranque en pendientes,,sí,sí,,,,trasera,sí,,sí,,satelital (GPS),,,,sí,,,,,,,,,,,,,,,,,,,,,,
CHEVROLET ONIX PREMIER R 1.0 2024,CHEVROLET,ONIX PREMIER R,1.0,,,2024,https://www.autocosmos.cl/catalogo/2024/chevrolet/onix/10t-premier-s-aut/178517,bencina,1000 cc,116/5500 cv/rpm,160/2000 N·m/rpm,inyección directa turbo,3 en línea,12,sí,no,N/D,"11,6 km/l","20,5 km/l","16,0 km/l",N/D,delantero - delantera,manual 5 velocidades,R15,discos ventilados - discos sólidos,independiente tipo McPherson,barra de torsión y barra estabilizadora,4163 mm,N/D,1730 mm,1473 mm,2551 mm,303/469 dm3,44 l,1063 kg,375 kg,N/D,,,,,,,,,,climatizador,sí,con ajuste manual,abatibles 60/40,vinilo,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con luces led, con regulación interna",,sí,eléctrica,aleación,no tiene,multifunción,,delanteros y traseros,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM con lector MP3, con comandos de audio al volante",6,sí,,"táctil de 8""","asistente para arranque en pendientes, indicador de presión de neumáticos, sistema de alerta del punto ciego",,sí,sí,,,,trasera,sí,,sí,,satelital (GPS),,,sí,sí,,,,,sí,,,,,,,,,,,,,,,,,
CHEVROLET ONIX LS P 1.2 2024,CHEVROLET,ONIX LS P,1.2,,,2024,https://www.autocosmos.cl/catalogo/2024/chevrolet/onix/10t-ltz-r/178433,bencina,1000 cc,116/5500 cv/rpm,160/2000 N·m/rpm,inyección directa turbo,3 en línea,12,sí,no,N/D,"11,6 km/l","20,5 km/l","16,0 km/l",N/D,delantero - delantera,manual 5 velocidades,R15,discos ventilados - discos sólidos,independiente tipo McPherson,barra de torsión y barra estabilizadora,4163 mm,N/D,1730 mm,1473 mm,2551 mm,303/469 dm3,44 l,1063 kg,375 kg,N/D,,,,,,,,,,manual,sí,con ajuste manual,abatibles 60/40,tela,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con luces led, con regulación interna",,sí,eléctrica,aleación,no tiene,multifunción,,traseros,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM con lector MP3, con comandos de audio al volante",6,sí,,"táctil de 8""",asistente para arranque en pendientes,,sí,sí,,,,trasera,sí,,sí,,satelital (GPS),,,,sí,,,,,,,,,,,,,,,,,,,,,,
CHEVROLET SAIL NB LT 1.5L 2024,CHEVROLET,SAIL NB LT,1.5L,,,2024,https://www.autocosmos.cl/catalogo/2024/chevrolet/sail/15-lt/176749,bencina,1500 cc,109/5800 cv/rpm,142/4000 N·m/rpm,inyección electrónica multipunto,4 en línea,16,sí,N/D,N/D,"11,3 km/l","18,6 km/l","15,0 km/l",N/D,delantero - delantera,manual 6 velocidades,185/60/R15,discos ventilados - discos sólidos,independiente tipo McPherson,eje de torsión,4490 mm,1695 mm,N/D,1490 mm,2550 mm,475 dm3,45 l,1140 kg,410 kg,N/D,,,,,,,,,,manual,sí,con ajuste manual,abatibles completo,tela,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con luces de marcha diurna, con regulación interna",no tiene,sí,eléctrica,acero,no tiene,multifunción,interna solo tapa de combustible,no tiene,sí,sí,"conductor y acompañante, de cabeza delanteros y traseros (cortina), laterales delanteros",inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM y CD con lector de Mp3, con comandos de audio al volante",4,sí,sí,,indicador de presión de neumáticos,sí,sí,,,,,no,,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEVROLET SAIL NB LTZ 1.5L 2024,CHEVROLET,SAIL NB LTZ,1.5L,,,2024,https://www.autocosmos.cl/catalogo/2024/chevrolet/sail/15-lt/176749,bencina,1500 cc,109/5800 cv/rpm,142/4000 N·m/rpm,inyección electrónica multipunto,4 en línea,16,sí,N/D,N/D,"11,3 km/l","18,6 km/l","15,0 km/l",N/D,delantero - delantera,manual 6 velocidades,185/60/R15,discos ventilados - discos sólidos,independiente tipo McPherson,eje de torsión,4490 mm,1695 mm,N/D,1490 mm,2550 mm,475 dm3,45 l,1140 kg,410 kg,N/D,,,,,,,,,,manual,sí,con ajuste manual,abatibles completo,tela,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con luces de marcha diurna, con regulación interna",no tiene,sí,eléctrica,acero,no tiene,multifunción,interna solo tapa de combustible,no tiene,sí,sí,"conductor y acompañante, de cabeza delanteros y traseros (cortina), laterales delanteros",inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM y CD con lector de Mp3, con comandos de audio al volante",4,sí,sí,,indicador de presión de neumáticos,sí,sí,,,,,no,,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEVROLET SAIL NB LTZ 1.5L CVT 2024,CHEVROLET,SAIL NB LTZ,1.5L,,CVT,2024,https://www.autocosmos.cl/catalogo/2024/chevrolet/sail/15-lt/176749,bencina,1500 cc,109/5800 cv/rpm,142/4000 N·m/rpm,inyección electrónica multipunto,4 en línea,16,sí,N/D,N/D,"11,3 km/l","18,6 km/l","15,0 km/l",N/D,delantero - delantera,manual 6 velocidades,185/60/R15,discos ventilados - discos sólidos,independiente tipo McPherson,eje de torsión,4490 mm,1695 mm,N/D,1490 mm,2550 mm,475 dm3,45 l,1140 kg,410 kg,N/D,,,,,,,,,,manual,sí,con ajuste manual,abatibles completo,tela,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con luces de marcha diurna, con regulación interna",no tiene,sí,eléctrica,acero,no tiene,multifunción,interna solo tapa de combustible,no tiene,sí,sí,"conductor y acompañante, de cabeza delanteros y traseros (cortina), laterales delanteros",inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM y CD con lector de Mp3, con comandos de audio al volante",4,sí,sí,,indicador de presión de neumáticos,sí,sí,,,,,no,,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,
